"","Package","LibPath","Version","Priority","Built"
"247","proto","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.0",NA,"3.4.4"
"248","ps","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.0",NA,"3.6.2"
"249","psych","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.8.12",NA,"3.5.2"
"250","purrr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.3",NA,"3.6.2"
"251","quadprog","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5-5",NA,"3.4.1"
"252","quantreg","C:/Users/aubryp/Documents/R/R-3.6.1/library","5.36",NA,"3.4.4"
"253","R6","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.4.1",NA,"3.6.2"
"254","randomForest","C:/Users/aubryp/Documents/R/R-3.6.1/library","4.6-14",NA,"3.4.4"
"255","Rcgmin","C:/Users/aubryp/Documents/R/R-3.6.1/library","2013-2.21",NA,"3.4.1"
"256","rcmdcheck","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.3",NA,"3.5.3"
"257","RColorBrewer","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1-2",NA,"3.6.0"
"258","Rcpp","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.3",NA,"3.6.2"
"259","RcppArmadillo","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8.400.0.0",NA,"3.4.4"
"260","RcppEigen","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.3.4.0",NA,"3.4.4"
"261","RcppParallel","C:/Users/aubryp/Documents/R/R-3.6.1/library","4.4.0",NA,"3.4.4"
"262","RcppRoll","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.0",NA,"3.5.3"
"263","RCurl","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.95-4.12",NA,"3.5.3"
"264","readr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.1",NA,"3.6.2"
"265","readxl","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3.1",NA,"3.6.2"
"266","recipes","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.5",NA,"3.5.3"
"267","reliaR","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.01",NA,"3.4.1"
"268","rem","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.8",NA,"3.4.4"
